iid,cname,iparentid,ilevel,ciconurl,curl,cclass,iisnominate,ccreateuser,dcreatedate,clastupdateduser,dlastupdateddate,ctype
"38","Company Info",NULL,"1",NULL,NULL,NULL,"0","xcf","2015-04-03","xcf","2015-04-03","Foot"
"39","Payment & Shipping",NULL,"1",NULL,NULL,NULL,"0","xcf","2015-04-03","xcf","2015-04-03","Foot"
"40","Policies & Service",NULL,"1",NULL,NULL,NULL,"0","xcf","2015-04-03","xcf","2015-04-03","Foot"
"41","Partner Program",NULL,"1",NULL,NULL,NULL,"0","xcf","2015-04-03","xcf","2015-04-03","Foot"
"42","About US","38","2",NULL,"/base/cms/detail/32",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"43","Payment Guide","39","2",NULL,"/base/cms/detail/14",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"44","Shipping Guide","39","2",NULL,"/base/cms/detail/23",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"45","Estimated Delivery Time","39","2",NULL,"/base/cms/detail/27#80",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"46","Locations We Ship To","39","2",NULL,"/base/cms/detail/24#65",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"47","Privacy Policy","40","2",NULL,NULL,NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"48","Terms of Use","40","2",NULL,"/base/cms/detail/33",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"49","Help for Order","40","2",NULL,"/base/cms/detail/12",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"50","Return Policy","40","2",NULL,"/base/cms/detail/28",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"51","Affiliate Program","41","2",NULL,"/base/cms/detail/18",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"52","Wholesale","41","2",NULL,"/base/cms/detail/19",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"53","Dropshipping","41","2",NULL,"/base/cms/detail/20",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
"54","See All","41","2",NULL,"/base/cms",NULL,"0","xcf","2015-3-3 00:00:00","xcf","2015-3-3 00:00:00","Foot"
