"iid","iparentid","cpath","ilevel","iposition","ichildrencount"
"1",null,"Tablet-PC-Cellphone","1",null,null
"2","1","Tablet-PC-Cellphone/Cell-Phones","2",null,null
"3","2","Tablet-PC-Cellphone/Cell-Phones/Lenovo","3",null,null
"4","2","Tablet-PC-Cellphone/Cell-Phones/HUAWEI","3",null,null
"5","2","Tablet-PC-Cellphone/Cell-Phones/Xiaomi","3",null,null
"6","2","Tablet-PC-Cellphone/Cell-Phones/Cubot","3",null,null
"7","2","Tablet-PC-Cellphone/Cell-Phones/HTC","3",null,null
"8","2","Tablet-PC-Cellphone/Cell-Phones/ZTE","3",null,null
"9","2","Tablet-PC-Cellphone/Cell-Phones/THL","3",null,null
"10","2","Tablet-PC-Cellphone/Cell-Phones/TCL","3",null,null
"11","2","Tablet-PC-Cellphone/Cell-Phones/ZOPO","3",null,null
"12","2","Tablet-PC-Cellphone/Cell-Phones/Elephone","3",null,null
"13","2","Tablet-PC-Cellphone/Cell-Phones/DOOGEE","3",null,null
"14","2","Tablet-PC-Cellphone/Cell-Phones/JIAYU","3",null,null
"15","2","Tablet-PC-Cellphone/Cell-Phones/Tengda","3",null,null
"16","2","Tablet-PC-Cellphone/Cell-Phones/iNew","3",null,null
"17","2","Tablet-PC-Cellphone/Cell-Phones/No-1","3",null,null
"18","2","Tablet-PC-Cellphone/Cell-Phones/ONN","3",null,null
"19","2","Tablet-PC-Cellphone/Cell-Phones/Otium","3",null,null
"20","2","Tablet-PC-Cellphone/Cell-Phones/UMI","3",null,null
"21","2","Tablet-PC-Cellphone/Cell-Phones/MIJUE","3",null,null
"22","2","Tablet-PC-Cellphone/Cell-Phones/iocean","3",null,null
"23","2","Tablet-PC-Cellphone/Cell-Phones/Drfy-Phones","3",null,null
"24","1","Tablet-PC-Cellphone/Accessories-for-Cell-Phones","2",null,null
"25","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Power-Banks","3",null,null
"26","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Bluetooth-Earphones","3",null,null
"27","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Phone-Batteries","3",null,null
"28","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Phone-Data-Cables","3",null,null
"29","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Audio-Accessories-and-Earphones","3",null,null
"30","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Phone-Protection-Cases","3",null,null
"31","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/DIY-Tools","3",null,null
"32","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Vehicle-Mounted-Accessories","3",null,null
"33","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Apple-Accessories","3",null,null
"34","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Originality-Accessories","3",null,null
"35","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Phone-Protection-Accessories","3",null,null
"36","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Portable-Wireless-Speakers","3",null,null
"37","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Phone-Lens","3",null,null
"38","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Smart-Equipments","3",null,null
"39","24","Tablet-PC-Cellphone/Accessories-for-Cell-Phones/Other-Tablet-Accessories","3",null,null
"40","1","Tablet-PC-Cellphone/Tablet-PC-for-Accessories","2",null,null
"41","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Tablet-PC","3",null,null
"42","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Tablet-PC-Protection-Covers","3",null,null
"43","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Tablet-PC-Back-Cases","3",null,null
"44","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Tablet-PC-Cables","3",null,null
"45","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Tablet-PC-Holders","3",null,null
"46","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Tablet-PC-Vehicle-Mounted-Equipments","3",null,null
"47","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Originality-Accessories","3",null,null
"48","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Capacity-Expansion","3",null,null
"49","40","Tablet-PC-Cellphone/Tablet-PC-for-Accessories/Other-Tablet-Accessories","3",null,null
"50",null,"Sports-Outdoor","1",null,null
"51","50","Sports-Outdoor/Cycling","2",null,null
"52","51","Sports-Outdoor/Cycling/Headlamps","3",null,null
"53","51","Sports-Outdoor/Cycling/Bicycle-Lights","3",null,null
"54","51","Sports-Outdoor/Cycling/Bike-Accessories","3",null,null
"55","51","Sports-Outdoor/Cycling/Bikes","3",null,null
"56","51","Sports-Outdoor/Cycling/Fixed-Gear-Bikes","3",null,null
"57","51","Sports-Outdoor/Cycling/Bike-Tools","3",null,null
"58","51","Sports-Outdoor/Cycling/Bike-Computer","3",null,null
"59","51","Sports-Outdoor/Cycling/Bike-Holder","3",null,null
"60","51","Sports-Outdoor/Cycling/Bag-Supplies","3",null,null
"61","51","Sports-Outdoor/Cycling/Bicycle-Helmets","3",null,null
"62","51","Sports-Outdoor/Cycling/Bicycle-Saddles","3",null,null
"63","51","Sports-Outdoor/Cycling/Bicycle-Pedals","3",null,null
"64","51","Sports-Outdoor/Cycling/Bicycle-Gloves","3",null,null
"65","51","Sports-Outdoor/Cycling/Bicycle-Decals","3",null,null
"66","51","Sports-Outdoor/Cycling/Water-Bottles","3",null,null
"67","51","Sports-Outdoor/Cycling/Pumps","3",null,null
"68","51","Sports-Outdoor/Cycling/Tire-Tubes-","3",null,null
"69","51","Sports-Outdoor/Cycling/Cycling-Head-Scarfs","3",null,null
"70","51","Sports-Outdoor/Cycling/Cycling-Clothing","3",null,null
"71","50","Sports-Outdoor/Fishing","2",null,null
"72","71","Sports-Outdoor/Fishing/Fishing-Rods","3",null,null
"73","71","Sports-Outdoor/Fishing/Fishing-Reels","3",null,null
"74","71","Sports-Outdoor/Fishing/Fishing-Lines","3",null,null
"75","71","Sports-Outdoor/Fishing/Fishing-Lures","3",null,null
"76","71","Sports-Outdoor/Fishing/Fishing-Hooks","3",null,null
"77","71","Sports-Outdoor/Fishing/Fishing-Floats","3",null,null
"78","71","Sports-Outdoor/Fishing/Fishing-Gloves","3",null,null
"79","71","Sports-Outdoor/Fishing/Fishing-Boxes","3",null,null
"80","71","Sports-Outdoor/Fishing/Fishing-Lights","3",null,null
"81","71","Sports-Outdoor/Fishing/Fishing-Bags","3",null,null
"82","71","Sports-Outdoor/Fishing/Fishing-Wear","3",null,null
"83","71","Sports-Outdoor/Fishing/Tools-Equipment","3",null,null
"84","71","Sports-Outdoor/Fishing/Fly-Reels","3",null,null
