"iid","icategoryid","ilanguageid","cname","ctitle","cdescription","ckeywords","cmetatitle","cmetakeyword","cmetadescription","ccontent","cclearanceimages","chotimages","cbackgroundimages"
"1","1","1","Tablet PC & Cellphone","Tablet PC & Cellphone",null,null,null,null,null,null,null,null,null
"2","2","1","Cell Phones","Cell Phones",null,null,null,null,null,null,null,null,null
"3","3","1","Lenovo","Lenovo",null,null,null,null,null,null,null,null,null
"4","4","1","HUAWEI","HUAWEI",null,null,null,null,null,null,null,null,null
"5","5","1","Xiaomi","Xiaomi",null,null,null,null,null,null,null,null,null
"6","6","1","Cubot","Cubot",null,null,null,null,null,null,null,null,null
"7","7","1","HTC","HTC",null,null,null,null,null,null,null,null,null
"8","8","1","ZTE","ZTE",null,null,null,null,null,null,null,null,null
"9","9","1","THL","THL",null,null,null,null,null,null,null,null,null
"10","10","1","TCL","TCL",null,null,null,null,null,null,null,null,null
"11","11","1","ZOPO","ZOPO",null,null,null,null,null,null,null,null,null
"12","12","1","Elephone","Elephone",null,null,null,null,null,null,null,null,null
"13","13","1","DOOGEE","DOOGEE",null,null,null,null,null,null,null,null,null
"14","14","1","JIAYU","JIAYU",null,null,null,null,null,null,null,null,null
"15","15","1","Tengda","Tengda",null,null,null,null,null,null,null,null,null
"16","16","1","iNew","iNew",null,null,null,null,null,null,null,null,null
"17","17","1","No.1","No.1",null,null,null,null,null,null,null,null,null
"18","18","1","ONN","ONN",null,null,null,null,null,null,null,null,null
"19","19","1","Otium","Otium",null,null,null,null,null,null,null,null,null
"20","20","1","UMI","UMI",null,null,null,null,null,null,null,null,null
"21","21","1","MIJUE","MIJUE",null,null,null,null,null,null,null,null,null
"22","22","1","iocean","iocean",null,null,null,null,null,null,null,null,null
"23","23","1","Drfy Phones","Drfy Phones",null,null,null,null,null,null,null,null,null
"24","24","1","Accessories for Cell Phones","Accessories for Cell Phones",null,null,null,null,null,null,null,null,null
"25","25","1","Power Banks","Power Banks",null,null,null,null,null,null,null,null,null
"26","26","1","Bluetooth Earphones","Bluetooth Earphones",null,null,null,null,null,null,null,null,null
"27","27","1","Phone Batteries","Phone Batteries",null,null,null,null,null,null,null,null,null
"28","28","1","Phone Data Cables","Phone Data Cables",null,null,null,null,null,null,null,null,null
"29","29","1","Audio Accessories and Earphones","Audio Accessories and Earphones",null,null,null,null,null,null,null,null,null
"30","30","1","Phone Protection Cases","Phone Protection Cases",null,null,null,null,null,null,null,null,null
"31","31","1","DIY Tools","DIY Tools",null,null,null,null,null,null,null,null,null
"32","32","1","Vehicle Mounted Accessories","Vehicle Mounted Accessories",null,null,null,null,null,null,null,null,null
"33","33","1","Apple Accessories","Apple Accessories",null,null,null,null,null,null,null,null,null
"34","34","1","Originality Accessories","Originality Accessories",null,null,null,null,null,null,null,null,null
"35","35","1","Phone Protection Accessories","Phone Protection Accessories",null,null,null,null,null,null,null,null,null
"36","36","1","Portable/ Wireless Speakers","Portable/ Wireless Speakers",null,null,null,null,null,null,null,null,null
"37","37","1","Phone Lens","Phone Lens",null,null,null,null,null,null,null,null,null
"38","38","1","Smart Equipments","Smart Equipments",null,null,null,null,null,null,null,null,null
"39","39","1","Other Tablet Accessories","Other Tablet Accessories",null,null,null,null,null,null,null,null,null
"40","40","1","Tablet  PC  for Accessories","Tablet  PC  for Accessories",null,null,null,null,null,null,null,null,null
"41","41","1","Tablet PC","Tablet PC",null,null,null,null,null,null,null,null,null
"42","42","1","Tablet PC Protection Covers","Tablet PC Protection Covers",null,null,null,null,null,null,null,null,null
"43","43","1","Tablet PC Back Cases","Tablet PC Back Cases",null,null,null,null,null,null,null,null,null
