icategoryid,ilanguageid,cname,ctitle
8,1,ONN,ONN
1109,2,RCModelos&Pasatiempos,<div>RCModelos&amp;Pasatiempos</div>\r+
7,1,OUKITEL,OUKITEL
59,1,TabletPCVehicleMountedEquipments,TabletPCVehicleMountedEquipments
36,1,PowerBanks&Battery,PowerBanks&Battery
58,1,TabletPCHolders,TabletPCHolders
23,1,Meizu,Meizu
37,1,Earphones,Earphones
56,1,TabletPCEstuchedeEspalada,TabletPCEstuchedeEspalada
38,1,PhoneSelfieAccessories,PhoneSelfieAccessories
39,1,WirelessCharging&Accessories,WirelessCharging&Accessories
47,1,OtherPhoneAccessories,OtherPhoneAccessories
44,1,VehicleMountedAccessories,VehicleMountedAccessories
67,1,Bikes,Bikes
70,1,BikeComputer,BikeComputer
81,1,Tire&Tubes&,Tire&Tubes&
71,1,BikeHolder,BikeHolder
42,1,PhoneProtectionAccessories,PhoneProtectionAccessories
91,1,FishingGloves,FishingGloves
99,1,Headlamps,Headlamps
85,1,FishingRods,FishingRods
43,1,DIYTools,DIYTools
3,1,Lenovo,Lenovo
4,1,HUAWEI,HUAWEI
5,1,Xiaomi,Xiaomi
6,1,Cubot,Cubot
45,1,AppleAccessories,AppleAccessories
46,1,PhoneChargingAccessories,PhoneChargingAccessories
9,1,Otium,Otium
10,1,UMI,UMI
11,1,MIJUE,MIJUE
12,1,iocean,iocean
13,1,coolpad,coolpad
14,1,ZTE,ZTE
15,1,THL,THL
16,1,TCL,TCL
17,1,ZOPO,ZOPO
18,1,Elephone,Elephone
19,1,DOOGEE,DOOGEE
20,1,JIAYU,JIAYU
21,1,LANDVO,LANDVO
22,1,vkworld,vkworld
50,1,PhoneLens,PhoneLens
24,1,iNew,iNew
25,1,ECOO,ECOO
26,1,No.1,No.1
27,1,LG,LG
28,1,LKD,LKD
29,1,JIAKE,JIAKE
30,1,KingSing,KingSing
31,1,Ulefone,Ulefone
33,1,DrfyPhones,DrfyPhones
51,1,SmartEquipments&Accessories,SmartEquipments&Accessories
40,1,PhoneRemoteAccessories,PhoneRemoteAccessories
48,1,Accessories,Accessories
49,1,Portable/WirelessSpeakers,Portable/WirelessSpeakers
54,1,TabletPC,TabletPC
55,1,TabletPCProtectionCovers,TabletPCProtectionCovers
57,1,TabletPCCables,TabletPCCables
60,1,OriginalityAccessories,OriginalityAccessories
61,1,CapacityExpansion,CapacityExpansion
62,1,OtherTabletAccessories,OtherTabletAccessories
65,1,BicycleLights,BicycleLights
66,1,BikeAccessories,BikeAccessories
68,1,FixedGearBikes,FixedGearBikes
69,1,BikeTools,BikeTools
72,1,BagSupplies,BagSupplies
73,1,BicycleHelmets,BicycleHelmets
74,1,BicycleSaddles,BicycleSaddles
75,1,BicyclePedals,BicyclePedals
76,1,BicycleGloves,BicycleGloves
77,1,BicycleDecals,BicycleDecals
78,1,BicycleGlasses,BicycleGlasses
79,1,WaterBottles,WaterBottles
80,1,Pumps,Pumps
82,1,CyclingHeadScarfs,CyclingHeadScarfs
83,1,CyclingClothing,CyclingClothing
86,1,FishingReels,FishingReels
