iid,iwebsiteid,icategoryid,iparentid,cpath,ilevel,bshow,bhasbgimage
171,1,171,170,Test-Equipment-Tools/Electrical-Testing/Digital-Multimeters,3,t,t
174,1,174,170,Test-Equipment-Tools/Electrical-Testing/Capacitance-Resistance-Meters,3,t,t
8,1,8,2,Tablet-PC-Cellphone/Cell-Phones/ONN,3,f,f
1254,1,1254,1235,Toys-Games/Dolls-Stuffed-Toys,2,f,t
1197,1,1197,1109,RC-Models-Hobbies/Car,2,t,t
1137,1,1137,1109,RC-Models-Hobbies/HSP,2,t,t
10,1,10,2,Tablet-PC-Cellphone/Cell-Phones/UMI,3,t,f
11,1,11,2,Tablet-PC-Cellphone/Cell-Phones/MIJUE,3,t,f
12,1,12,2,Tablet-PC-Cellphone/Cell-Phones/iocean,3,t,f
13,1,13,2,Tablet-PC-Cellphone/Cell-Phones/coolpad,3,t,f
17,1,17,2,Tablet-PC-Cellphone/Cell-Phones/ZOPO,3,t,f
183,1,183,170,Test-Equipment-Tools/Electrical-Testing/Oscilloscopes-Accessories,3,t,t
83,1,83,64,Sports-Outdoor/Cycling/Cycling-Clothing,3,t,t
329,1,329,277,Cameras-Photo-Accessories/Strobe-Lighting-Photo-Studio-Accessories,2,t,t
81,1,81,64,Sports-Outdoor/Cycling/Tire-Tubes-,3,f,t
99,1,99,98,Sports-Outdoor/Camping-Hiking/Headlamps,3,t,f
521,1,521,468,Musical-Instruments/Pro-Audio-Equipment,2,t,t
9,1,9,2,Tablet-PC-Cellphone/Cell-Phones/Otium,3,f,t
1054,1,1054,1019,Home-and-Garden/Home-living,2,t,t
1302,1,1302,0,Video-Audio,1,t,t
369,1,369,365,Lighting-Flashlights-LEDs/Light-Bulbs/Halogen-Bulbs,3,t,t
1289,1,1289,1235,Toys-Games/Video-Games,2,t,t
1261,1,1261,1235,Toys-Games/Electronic-Toys,2,f,t
825,1,825,818,Health-Beauty/Wig-Accessories/Hair-Extensions,3,f,t
262,1,262,258,Computer-Networking/Laptops-Notebooks/Laptop-Case-Bag,3,t,t
365,1,365,354,Lighting-Flashlights-LEDs/Light-Bulbs,2,t,t
373,1,373,354,Lighting-Flashlights-LEDs/LED-Lamps,2,t,t
307,1,307,277,Cameras-Photo-Accessories/Other-Camera-Accessories,2,t,t
1150,1,1150,1109,RC-Models-Hobbies/WLtoys,2,t,t
516,1,516,468,Musical-Instruments/Keyboards-Pianos,2,t,t
1336,1,1336,1302,Video-Audio/3D-Glasses-Video-Glasses,2,t,t
1340,1,1340,1302,Video-Audio/A-V-Accessories-Adapters-Cables,2,t,t
411,1,411,408,Lighting-Flashlights-LEDs/Outdoor-Lighting/Floodlights,3,t,t
191,1,191,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Temperature-Humidity-Instrument,3,t,t
320,1,320,318,Cameras-Photo-Accessories/DSLR-Video-Supports-Rigs/Video-Mics,3,t,t
197,1,197,189,Test-Equipment-Tools/Environal-Measurement-Instruments/Vibration-Noisemeter,3,f,t
1354,1,1354,1302,Video-Audio/Other-Consumer-Electronics,2,t,t
70,1,70,64,Sports-Outdoor/Cycling/Bike-Computer,3,t,t
73,1,73,64,Sports-Outdoor/Cycling/Bicycle-Helmets,3,t,t
1064,1,1064,1019,Home-and-Garden/Kitchen-Dining-bar,2,t,t
85,1,85,84,Sports-Outdoor/Fishing/Fishing-Rods,3,t,t
87,1,87,84,Sports-Outdoor/Fishing/Fishing-Lines,3,t,t
97,1,97,84,Sports-Outdoor/Fishing/Fishing-Accessories,3,t,t
1390,1,1390,1385,Car-Accessories/Car-Safety-Security/Fire-Extinguishers,3,f,t
156,1,156,155,Sports-Outdoor/Travel-Accessories/Storage-Containers,3,t,t
403,1,403,392,Lighting-Flashlights-LEDs/Indoor-Lighting/Chandelier-Crystal,3,f,t
101,1,101,98,Sports-Outdoor/Camping-Hiking/Telescope-Binoculars,3,t,t
421,1,421,420,Lighting-Flashlights-LEDs/Holiday-Lighting/LED-Strips,3,f,t
1398,1,1398,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Carburetors,3,f,t
1410,1,1410,1409,Car-Accessories/Car-Brakes/ABS-System-PartsABS,3,f,t
1560,1,1560,1362,Car-Accessories/Car-Ignition-System,2,f,t
1727,1,1727,1362,Car-Accessories/ATV-Parts,2,f,t
1392,1,1392,1385,Car-Accessories/Car-Safety-Security/Remote-Car-Start,3,f,t
1394,1,1394,1385,Car-Accessories/Car-Safety-Security/Other,3,t,t
1412,1,1412,1409,Car-Accessories/Car-Brakes/Brake-Lines,3,f,t
1414,1,1414,1409,Car-Accessories/Car-Brakes/Discs-Rotors-Hardware-,3,f,t
1423,1,1423,1362,Car-Accessories/Car-Charging-Starting-Systems,2,f,t
1400,1,1400,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Chokes,3,f,t
1402,1,1402,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Fuel-Injectors,3,f,t
1406,1,1406,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Sensors,3,f,t
1011,1,1011,864,Apparel-Jewelry/Jewelry-Supplies,2,f,t
95,1,95,84,Sports-Outdoor/Fishing/Fishing-Wear,3,t,t
1667,1,1667,1653,Car-Accessories/Automotive-Tools-Suppliesl/Other-Auto-Tools-Supplies,3,f,t
1409,1,1409,1362,Car-Accessories/Car-Brakes,2,f,t
1404,1,1404,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Fuel-Tanks,3,f,t
1408,1,1408,1395,Car-Accessories/Car-Air-Intake-Fuel-Delivery/Other,3,f,t
440,1,440,436,Lighting-Flashlights-LEDs/Professional-Lighting/Emergency-Lights,3,t,t
1048,1,1048,1019,Home-and-Garden/Pet-Supplies,2,t,t
348,1,348,347,Cameras-Photo-Accessories/GOPRO-Accessories/Self-shooting-Accessories,3,t,t
350,1,350,347,Cameras-Photo-Accessories/GOPRO-Accessories/Tripods-Fix-Accessories,3,f,t
352,1,352,347,Cameras-Photo-Accessories/GOPRO-Accessories/Lens-Accessories,3,f,t
356,1,356,355,Lighting-Flashlights-LEDs/LED-Lighting/LED-Strips,3,t,t
362,1,362,355,Lighting-Flashlights-LEDs/LED-Lighting/LED-Bar-Lights,3,t,t
364,1,364,355,Lighting-Flashlights-LEDs/LED-Lighting/LED-Modules,3,t,t
360,1,360,355,Lighting-Flashlights-LEDs/LED-Lighting/LED-Grow-Lights,3,t,t
436,1,436,354,Lighting-Flashlights-LEDs/Professional-Lighting,2,t,t
82,1,82,64,Sports-Outdoor/Cycling/Cycling-Head-Scarfs,3,t,t
88,1,88,84,Sports-Outdoor/Fishing/Fishing-Lures,3,t,t
90,1,90,84,Sports-Outdoor/Fishing/Fishing-Floats,3,t,t
