clistingid,iwebsiteid,csku,istatus,dnewformdate,dnewtodate,bspecial,cvideoaddress,iqty,fprice,fweight,bmultiattribute,cparentsku,bclearstocks,bfeatured,bnew,bhot,bvisible,bpulish,ccreateuser,dcreatedate
cdf33010-74cd-43eb-92e5-9a6b0c5b6147,1,HP001,0,2014-12-03 00:00:00,2015-12-03 00:00:00,f,http://www.tomtop.com,100,9.35,1,t,H00,t,f,t,t,null,null,reason,2014-12-03 00:00:00
12340,1,H000-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,15,t,H00,t,t,t,f,null,null,jiang,2015-03-05 00:00:00
12341,1,H001-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,15,t,H00,t,f,t,t,null,null,jiang,2015-03-05 00:00:00
12342,1,H002-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,20,t,H00,t,t,t,t,null,null,jiang,2015-03-05 00:00:00
12343,1,H003-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,23,t,H00,t,t,t,f,null,null,jiang,2015-03-09 00:00:00
12344,1,H004-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,15,t,H00,t,t,t,t,null,null,jiang,2015-03-09 00:00:00
12345,1,H005-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,10,t,H10,t,t,t,f,null,null,jiang,2015-03-09 00:00:00
12346,1,H006-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,16,t,H00,t,t,t,t,null,null,jiang,2015-03-08 00:00:00
12347,1,H007-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,21,t,H00,t,t,t,f,null,null,jiang,2015-03-08 00:00:00
12348,1,H008-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,17,t,H00,t,f,t,f,null,null,jiang,2015-03-08 00:00:00
12349,1,H009-TEST,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,http://www.163.com.asdsdfgasdfgasdfasd,200,23.5,15,t,H00,t,f,t,t,null,null,jiang,2015-03-07 00:00:00
H0A1_LISTING,1,H0A1,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,2,98.1,15,t,H01,t,t,t,f,t,t,kmtong,2015-03-07 00:00:00
H0A2_LISTING,1,H0A2,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,3,99.1,10,t,H01,t,f,t,t,t,t,kmtong,2015-03-07 00:00:00
H0A3_LISTING,1,H0A3,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,4,100.1,15,t,H01,t,t,t,f,t,t,kmtong,2014-12-03 00:00:00
H0A4_LISTING,1,H0A4,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,5,101.1,15,t,H01,t,t,t,t,t,t,kmtong,2014-12-03 00:00:00
H0B1_LISTING,1,H0B1,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,6,98.1,10,t,H01,t,f,t,f,t,t,kmtong,2014-12-03 00:00:00
H0B2_LISTING,1,H0B2,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,7,99.1,21,t,H01,t,f,t,t,t,t,kmtong,2014-12-03 00:00:00
H0B3_LISTING,1,H0B3,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,8,100.1,21,t,H01,t,f,t,t,t,t,kmtong,2014-12-03 00:00:00
H0B4_LISTING,1,H0B4,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,9,101.1,15,t,H01,t,t,t,f,t,t,kmtong,2014-12-03 00:00:00
H0C1_LISTING,1,H0C1,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,6,98.1,14,t,H01,t,f,t,f,t,t,kmtong,2014-12-03 00:00:00
H0C2_LISTING,1,H0C2,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,7,99.1,10,t,H01,t,t,t,t,t,t,kmtong,2014-12-03 00:00:00
H0C3_LISTING,1,H0C3,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,8,100.1,15,t,H01,t,f,t,t,t,t,kmtong,2014-12-03 00:00:00
H0C4_LISTING,1,H0C4,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,9,101.1,21,t,H01,t,f,t,t,t,t,kmtong,2014-12-03 00:00:00
H0D1_LISTING,1,H0D1,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,6,98.1,21,t,H01,t,t,t,f,t,t,kmtong,2014-12-03 00:00:00
H0D2_LISTING,1,H0D2,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,7,99.1,15,t,H01,t,f,t,f,t,t,kmtong,2014-12-03 00:00:00
H0D3_LISTING,1,H0D3,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,8,100.1,14,t,H01,t,t,t,t,t,t,kmtong,2014-12-03 00:00:00
H0D4_LISTING,1,H0D4,0,2014-12-03 00:00:00,2015-12-03 00:00:00,t,null,9,101.1,15,t,H01,t,t,t,t,t,t,kmtong,2014-12-03 00:00:00
934668a8-d8c9-1004-8a97-438cca05a146,1,F1214R,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.89,62.01,f,null,t,f,f,null,t,t,null,2015-03-06 00:00:00
964de800-d8c9-1004-8a97-438cca05a146,1,F1214GR,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4,88,f,null,t,f,f,null,t,t,null,2015-03-06 00:00:00
964ed2c4-d8c9-1004-8a97-438cca05a146,1,F1214G,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.501,62.01,f,null,t,f,f,null,t,t,null,2015-03-06 00:00:00
964f9614-d8c9-1004-8a97-438cca05a146,1,F1214BL,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.717,77,f,null,t,f,f,null,t,t,null,2015-03-06 00:00:00
9650a784-d8c9-1004-8a97-438cca05a146,1,F1214B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.13,77,f,null,t,f,f,null,t,t,null,2015-03-06 00:00:00
9651e004-d8c9-1004-8a97-438cca05a146,1,F1155B,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.545,110,f,null,t,f,f,null,t,t,null,2015-03-06 00:00:00
965318e8-d8c9-1004-8a97-438cca05a146,1,F1156,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.852,55,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
96540348-d8c9-1004-8a97-438cca05a146,1,F1113,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.257,42,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9654faf0-d8c9-1004-8a97-438cca05a146,1,F1112,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,4.707,47,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
965611d8-d8c9-1004-8a97-438cca05a146,1,MSP01-g,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,3.47,30,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9656d528-d8c9-1004-8a97-438cca05a146,1,F1026W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,13.42,60,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9657e5d0-d8c9-1004-8a97-438cca05a146,1,F997W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,15.0053,180,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
9658a72c-d8c9-1004-8a97-438cca05a146,1,F997S,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,15.0053,180,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
965999c0-d8c9-1004-8a97-438cca05a146,1,F997RP,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,15.0053,180,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
965ab0a8-d8c9-1004-8a97-438cca05a146,1,F997R,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,15.0053,180,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
965bd85c-d8c9-1004-8a97-438cca05a146,1,F997LY,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,15.0053,180,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
965ce260-d8c9-1004-8a97-438cca05a146,1,F997B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,15.0053,180,f,null,t,null,f,null,t,t,null,2014-12-03 00:00:00
965d8094-d8c9-1004-8a97-438cca05a146,1,F996Y,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.571,170,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
965e3e6c-d8c9-1004-8a97-438cca05a146,1,F996W,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.571,170,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
965edca0-d8c9-1004-8a97-438cca05a146,1,F996S,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.571,170,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
965fd3e4-d8c9-1004-8a97-438cca05a146,1,F996P,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.571,170,f,null,t,f,f,null,t,t,null,2015-02-24 00:00:00
96609734-d8c9-1004-8a97-438cca05a146,1,F996BL,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.571,170,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9661d7e8-d8c9-1004-8a97-438cca05a146,1,F996B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,14.571,170,f,null,t,f,f,null,t,t,null,2015-02-24 00:00:00
9662c43c-d8c9-1004-8a97-438cca05a146,1,F906,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,23.427,200,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9663125c-d8c9-1004-8a97-438cca05a146,1,F885,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.804,200,f,null,t,f,f,null,t,t,null,2015-02-20 00:00:00
9663fcbc-d8c9-1004-8a97-438cca05a146,1,F884,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.234,250,f,null,t,f,f,null,t,t,null,2015-02-20 00:00:00
9665e8ec-d8c9-1004-8a97-438cca05a146,1,F189,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.432,76,f,null,t,f,f,null,t,t,null,2015-02-20 00:00:00
9667293c-d8c9-1004-8a97-438cca05a146,1,F878B,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,16.407,150,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9667ec8c-d8c9-1004-8a97-438cca05a146,1,F175,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.99,50,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9668b48c-d8c9-1004-8a97-438cca05a146,1,F157,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,38.502,750,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
966921ec-d8c9-1004-8a97-438cca05a146,1,F118,1,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,18.558,63,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
9669a52c-d8c9-1004-8a97-438cca05a146,1,F108,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.075,250.01,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
966a128c-d8c9-1004-8a97-438cca05a146,1,F105,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,6.462,55,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
966b5f5c-d8c9-1004-8a97-438cca05a146,1,F98,2,2014-12-03 00:00:00,2015-12-03 00:00:00,null,null,1000,9.48,100,f,null,t,f,f,null,t,t,null,2014-12-03 00:00:00
