clistingid,csku,fsaleprice,dbegindate,denddate
93ccd6e8-d984-1004-8136-a12200f6b65b,D2462,80.03,2015-05-10 23:55:59,2015-05-19 23:55:59
44e082bc-d986-1004-8e0c-b321d9e0c5c1,D2463,71.68,2015-05-10 23:55:59,2015-05-19 23:55:59
009a99ae-d914-1004-874c-d371c9ab96c0,H9919,33.02,2014-05-19 00:00:00,2014-05-31 00:00:00
0095cb9a-d914-1004-874c-d371c9ab96c0,D1087,28.912,2014-11-24 23:45:47,2015-04-20 00:00:00
00c11abd-d914-1004-874c-d371c9ab96c0,H11052,9.34,2014-10-08 00:00:00,2014-10-15 00:00:00
00703484-d914-1004-874c-d371c9ab96c0,I282,5.77,2014-05-12 00:00:00,2014-05-16 00:00:00
009efd0f-d914-1004-874c-d371c9ab96c0,RM257R,10.02,2015-02-06 23:33:15,2015-04-11 23:59:59
046d4c7b-d914-1004-874c-d371c9ab96c0,H8267,7.61,2014-09-12 00:00:00,2015-04-11 23:59:59
00c8bc25-d914-1004-874c-d371c9ab96c0,PT402SU,53.18,2010-05-16 00:00:00,2015-04-11 23:59:59
0488d678-d914-1004-874c-d371c9ab96c0,PT110,61.94,2010-05-16 00:00:00,2015-04-11 23:59:59
00cc993f-d914-1004-874c-d371c9ab96c0,PT200,48.87,2010-05-16 00:00:00,2015-02-11 00:00:00
00bb8d3a-d914-1004-874c-d371c9ab96c0,K1028,8.8,2014-06-29 00:00:00,2014-06-29 00:00:00
0486b340-d914-1004-874c-d371c9ab96c0,K1743,20.36,2015-02-05 00:00:00,2016-12-31 23:59:59
048c0c5c-d914-1004-874c-d371c9ab96c0,H2232,7.31,2013-06-23 00:00:00,2016-12-31 23:59:59
00657560-d914-1004-874c-d371c9ab96c0,H8814B,5.56,2015-01-27 22:29:24,2016-12-31 23:59:59
006b6cac-d914-1004-874c-d371c9ab96c0,H8483,5.79,2015-01-27 22:32:52,2016-12-31 23:59:59
0083374f-d914-1004-874c-d371c9ab96c0,PA1164,6.3,2013-03-25 00:00:00,2016-12-31 23:59:59
00b03fd9-d914-1004-874c-d371c9ab96c0,P240U,56.28,2010-05-09 00:00:00,2016-12-31 23:59:59
0084d8f5-d914-1004-874c-d371c9ab96c0,D882,69.21,2015-03-13 03:04:57,2016-12-31 23:59:59
04616157-d914-1004-874c-d371c9ab96c0,H1809,5.99,2014-09-12 00:00:00,2016-12-31 23:59:59
0cc194ee-d914-1004-874c-d371c9ab96c0,H2099,6.11,2012-04-12 00:00:00,2016-12-31 23:59:59
006d904f-d914-1004-874c-d371c9ab96c0,L0001,4.69,2015-02-03 01:58:32,2016-12-31 23:59:59
009dbcda-d914-1004-874c-d371c9ab96c0,D1671,131.12,2015-01-21 00:06:32,2016-12-31 23:59:59
008eb902-d914-1004-874c-d371c9ab96c0,PA2053,25.77,2015-01-29 00:00:00,2016-12-31 23:59:59
0d143be9-d914-1004-874c-d371c9ab96c0,H1516,3.28,2013-03-18 00:00:00,2016-12-31 23:59:59
04716cb9-d914-1004-874c-d371c9ab96c0,L0126,17.59,2015-03-06 00:28:28,2016-12-31 23:59:59
00c5ddc4-d914-1004-874c-d371c9ab96c0,H323,15.28,2013-03-15 00:00:00,2016-12-31 23:59:59
008795a7-d914-1004-874c-d371c9ab96c0,C119,4.00,2014-01-01,2099-12-31
d4a3c59c-d929-1004-835b-90389054983d,S198,120.00,2015-07-01,2099-12-31
