"clistingid","csku","istorageid","ccreateuser","dcreatedate"
"12340","H000-TEST","1","jiang","2015-02-07 11:22:42.07227"
"12341","H001-TEST","4","jiang","2015-02-07 11:22:42.07227"
"12342","H002-TEST","2","jiang","2015-02-07 11:22:42.07227"
"12343","H003-TEST","4","jiang","2015-02-07 11:22:42.07227"
"12344","H004-TEST","1","jiang","2015-02-07 11:22:42.07227"
"12345","H005-TEST","3","jiang","2015-02-07 11:22:42.07227"
"12346","H006-TEST","2","jiang","2015-02-07 11:22:42.07227"
"12347","H007-TEST","4","jiang","2015-02-07 11:22:42.07227"
"12348","H008-TEST","3","jiang","2015-02-07 11:22:42.07227"
"12349","H009-TEST","4","jiang","2015-02-07 11:22:42.07227"
"12340","H000-TEST","1","reason","2015-02-07 11:22:42.07227"
"12340","H000-TEST","2","reason","2015-02-07 11:22:42.07227"
"12340","H000-TEST","4","reason","2015-02-07 11:22:42.07227"
"12341","H001-TEST","2","reason","2015-02-07 11:22:42.07227"
"12341","H001-TEST","3","reason","2015-02-07 11:22:42.07227"
"12341","H001-TEST","4","reason","2015-02-07 11:22:42.07227"
"12342","H002-TEST","1","reason","2015-02-07 11:22:42.07227"
"12342","H002-TEST","4","reason","2015-02-07 11:22:42.07227"
"12342","H002-TEST","2","reason","2015-02-07 11:22:42.07227"
"12343","H003-TEST","1","reason","2015-02-07 11:22:42.07227"
"12343","H003-TEST","4","reason","2015-02-07 11:22:42.07227"
"12343","H003-TEST","5","reason","2015-02-07 11:22:42.07227"
"934668a8-d8c9-1004-8a97-438cca05a146","F1214R","1",null,"2015-02-07 19:36:17.991"
"934668a8-d8c9-1004-8a97-438cca05a146","F1214R","2",null,"2015-02-07 19:36:17.991"
"964de800-d8c9-1004-8a97-438cca05a146","F1214GR","1",null,"2015-02-07 19:44:45.743"
"964de800-d8c9-1004-8a97-438cca05a146","F1214GR","2",null,"2015-02-07 19:44:45.743"
"964ed2c4-d8c9-1004-8a97-438cca05a146","F1214G","1",null,"2015-02-07 19:44:46.264"
"964ed2c4-d8c9-1004-8a97-438cca05a146","F1214G","2",null,"2015-02-07 19:44:46.264"
"964f9614-d8c9-1004-8a97-438cca05a146","F1214BL","1",null,"2015-02-07 19:44:46.797"
"964f9614-d8c9-1004-8a97-438cca05a146","F1214BL","2",null,"2015-02-07 19:44:46.797"
