"clistingid","csku","ilanguageid","curl","ccreateuser","dcreatedate"
"cdf33010-74cd-43eb-92e5-9a6b0c5b6147","HP001","1","professional-phone-and-game-consoles-disassembly-tool-8-piece-set-pa1128","kmtong","2014-12-03 00:00:00"
"12340","H000-TEST","1","H000-TEST","jiang","2014-12-03 00:00:00"
"12341","H001-TEST","1","H001-TEST","jiang","2014-12-03 00:00:00"
"12342","H002-TEST","1","H002-TEST","jiang","2014-12-03 00:00:00"
"12343","H003-TEST","1","H003-TEST","jiang","2014-12-03 00:00:00"
"12344","H004-TEST","1","H004-TEST","jiang","2014-12-03 00:00:00"
"12345","H005-TEST","1","H005-TEST","jiang","2014-12-03 00:00:00"
"12346","H006-TEST","1","H006-TEST","jiang","2014-12-03 00:00:00"
"12347","H007-TEST","1","H007-TEST","jiang","2014-12-03 00:00:00"
"12348","H008-TEST","1","H008-TEST","jiang","2014-12-03 00:00:00"
"12349","H009-TEST","1","H009-TEST","jiang","2014-12-03 00:00:00"
"12340","H000-TEST","1","Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H000-TEST","jiang","2014-12-03 00:00:00"
"12341","H001-TEST","1","Camera Handlebar Seatpost Clamp Roll Bar Mount+Mounting Adapter for GoPro Hero 1 2 3 3+  H001-TEST","jiang","2014-12-03 00:00:00"
"12342","H002-TEST","1","Music Starry Star Sky Projection Alarm Clock H002-TEST","jiang","2014-12-03 00:00:00"
"12343","H003-TEST","1","2.4GHz Wireless Optical Pen Mouse Adjustable  H003-TEST","jiang","2014-12-03 00:00:00"
"12344","H004-TEST","1","USB TO PC Game Controller Adapter Converter For PS2  H004-TEST","jiang","2014-12-03 00:00:00"
"12345","H005-TEST","1","Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H005-TEST","jiang","2014-12-03 00:00:00"
"12346","H006-TEST","1","Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H006-TEST","jiang","2014-12-03 00:00:00"
"12347","H007-TEST","1","Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H007-TEST","jiang","2014-12-03 00:00:00"
"12348","H008-TEST","1","Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H008-TEST","jiang","2014-12-03 00:00:00"
"12349","H009-TEST","1","Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H009-TEST","jiang","2014-12-03 00:00:00"
"H0A1_LISTING","H0A1","1","H0A1","kmtong","2014-12-03 00:00:00"
"H0A2_LISTING","H0A2","1","H0A2","kmtong","2014-12-03 00:00:00"
"H0A3_LISTING","H0A3","1","H0A3","kmtong","2014-12-03 00:00:00"
"H0A4_LISTING","H0A4","1","H0A4","kmtong","2014-12-03 00:00:00"
"H0B1_LISTING","H0B1","1","H0B1","kmtong","2014-12-03 00:00:00"
"H0B2_LISTING","H0B2","1","H0B2","kmtong","2014-12-03 00:00:00"
"H0B3_LISTING","H0B3","1","H0B3","kmtong","2014-12-03 00:00:00"
"H0B4_LISTING","H0B4","1","H0B4","kmtong","2014-12-03 00:00:00"
"H0C1_LISTING","H0C1","1","H0C1","kmtong","2014-12-03 00:00:00"
"H0C2_LISTING","H0C2","1","H0C2","kmtong","2014-12-03 00:00:00"
"H0C3_LISTING","H0C3","1","H0C3","kmtong","2014-12-03 00:00:00"
"H0C4_LISTING","H0C4","1","H0C4","kmtong","2014-12-03 00:00:00"
"H0D1_LISTING","H0D1","1","H0D1","kmtong","2014-12-03 00:00:00"
"H0D2_LISTING","H0D2","1","H0D2","kmtong","2014-12-03 00:00:00"
"H0D3_LISTING","H0D3","1","H0D3","kmtong","2014-12-03 00:00:00"
"H0D4_LISTING","H0D4","1","H0D4","kmtong","2014-12-03 00:00:00"
"934668a8-d8c9-1004-8a97-438cca05a146","F1214R","1","New-Aluminum-Cover-Case-Shell-for-SONY-PSP-3000-PSP3000-F1214R",null,"2015-02-07 00:00:00"
"964de800-d8c9-1004-8a97-438cca05a146","F1214GR","1","Aluminum-Cover-Case-Shell-for-SONY-PSP-3000-PSP3000-F1214GR",null,"2015-02-07 00:00:00"
"964ed2c4-d8c9-1004-8a97-438cca05a146","F1214G","1","New-Aluminum-Cover-Case-Shell-for-SONY-PSP-3000-PSP3000-F1214G",null,"2015-02-07 00:00:00"
"964f9614-d8c9-1004-8a97-438cca05a146","F1214BL","1","Blue-Aluminum-Cover-Case-Shell-for-SONY-PSP-3000-PSP3000-F1214BL",null,"2015-02-07 00:00:00"
"9650a784-d8c9-1004-8a97-438cca05a146","F1214B","1","Aluminum-Case-Housing-Cover-Protector-for-PSP3000-Black-F1214B",null,"2015-02-07 00:00:00"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","1","Full-Housing-Kit-Replacement-Case-for-Sony-PSP-2000-black-F1155B",null,"2015-02-07 00:00:00"
"965318e8-d8c9-1004-8a97-438cca05a146","F1156","1","2400mAh-Battery-for-Sony-PSP-PSP2000PSP3000-F1156",null,"2015-02-07 00:00:00"
