imenuid,ckey,ctitle,ccontent,iisnominate,ccreateuser,dcreatedate,clastupdateduser,dlastupdateddate
10,1111,What Does "Expected Restock"?, "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
10,1111,Will I Get An AC Adapter For My Country?, "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
10,1111,When Will An Item Be Back In Stock?, "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
10,1111,What Is Preorder?, "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
10,1111,I Can't Find A Product On Your Website Anymore Is It Still Available?, "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
10,1111,Where Do I Find More Information About Product Features?, "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
10,1111,Can I View Prices In Different Currencies?, "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
10,1111,What Does "Expected Restock", "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
9,1111,What Does "Expected Restock", "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
9,1111,What Does "Expected Restock", "Out Of Stock" And "Sold Out Currently" Mean? Here are the usual stock messages you can see on the product pages and their,1,xcf,2015-03-03,xcf,2015-03-03
34,Pre-Sale,Welcome to TOMTOP Customer Service Pre-Sale Center!,"<p class=""line22"">This is an express channel offering support service.<br>Available time: Monday-Friday: 9AM to 6PM (HKT/GMT+8)<br>You can submit your request in an easy form. Upon your correct submission, your problem will be solved in the shortest time.<br>Also, you can open a case (See the green button below) to contact us any time.</p><div class=""xxkDiv""><ul class=""blackXXK customerDH""><li class=""xxkActi""><p><em class=""Pre-Sale""></em>Pre-Sale</p><span>Any doubts about product functions, features, inventory and so on.</span></li><li><p><em class=""After-Sale""></em>After-Sale</p><span>Any after-sale issues like logistics, item replacement and so on.</span></li><div class=""clear""></div></ul><div class=""xxkBOX block""><h6 class=""customerSE"">Please select the issue:</h6><ul class=""customerPic_ul""><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><div class=""clear""></div></ul><p class=""marT"">If Live Chat is not available, you will be directed to<a class=""LiveChat"" href=""javascript:;"">Start a Live Chat</a></p><p class=""marT"">for an inquiry submission. Once you submit an inquiry, our customer representative will respond to you with 1-2 business days.</p></div> <div class=""xxkBOX"" style=""display:none;""><h6 class=""customerSE"">Please select the issue:</h6> <ul class=""customerAfter_ul""><li><em class=""tracking""></em><a href=""javascript:;"">Order tracking</a></li><li><em class=""received""></em><a href=""javascript:;"">Package Never received</a></li><li><em class=""refund""></em><a href=""javascript:;"">Cancel unshipped items for refund</a></li><li><em class=""Issue""></em><a href=""javascript:;"">TOMTOP Account Issue</a></li><li><em class=""Damaged""></em><a href=""javascript:;"">Defective / Damaged</a></li><li><em class=""ItemReceived""></em><a href=""javascript:;"">Wrong Item(s) Received</a></li><li><em class=""Parts""></em><a href=""javascript:;"">Missing Item(s) or Parts</a></li><li><em class=""Usage""></em><a href=""javascript:;"">Technical / Usage</a></li><li><em class=""lssues""></em><a href=""javascript:;"">More Order lssues</a></li><div class=""clear""></div></ul><p class=""marT fontBs"">If you have further questions, please:</p><a class=""LiveChat marT"" href=""javascript:;"">Start a Live Chat</a><p class=""marT line22"">Available time: Monday-Friday: 9:00:00 to 18:30:00 (HKT/GMT+8)<br>TOMTOP Local Time(HKT/GMT+8): </p><div>2015-2-28 <img src=""images/delete/countDown04.jpg""></div></div></div>",0,xcf,2015-03-03,xcf,2015-03-03
35,After-Sale,Welcome to TOMTOP Customer Service Pre-Sale Center!,"<p class=""line22"">This is an express channel offering support service.<br>Available time: Monday-Friday: 9AM to 6PM (HKT/GMT+8)<br>You can submit your request in an easy form. Upon your correct submission, your problem will be solved in the shortest time.<br>Also, you can open a case (See the green button below) to contact us any time.</p><div class=""xxkDiv""><ul class=""blackXXK customerDH""><li class=""xxkActi""><p><em class=""Pre-Sale""></em>Pre-Sale</p><span>Any doubts about product functions, features, inventory and so on.</span></li><li><p><em class=""After-Sale""></em>After-Sale</p><span>Any after-sale issues like logistics, item replacement and so on.</span></li><div class=""clear""></div></ul><div class=""xxkBOX block""><h6 class=""customerSE"">Please select the issue:</h6><ul class=""customerPic_ul""><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale03.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale01.jpg""></a></li><li><a href=""javascript:;""><img src=""images/delete/preSale02.jpg""></a></li><div class=""clear""></div></ul><p class=""marT"">If Live Chat is not available, you will be directed to<a class=""LiveChat"" href=""javascript:;"">Start a Live Chat</a></p><p class=""marT"">for an inquiry submission. Once you submit an inquiry, our customer representative will respond to you with 1-2 business days.</p></div> <div class=""xxkBOX"" style=""display:none;""><h6 class=""customerSE"">Please select the issue:</h6> <ul class=""customerAfter_ul""><li><em class=""tracking""></em><a href=""javascript:;"">Order tracking</a></li><li><em class=""received""></em><a href=""javascript:;"">Package Never received</a></li><li><em class=""refund""></em><a href=""javascript:;"">Cancel unshipped items for refund</a></li><li><em class=""Issue""></em><a href=""javascript:;"">TOMTOP Account Issue</a></li><li><em class=""Damaged""></em><a href=""javascript:;"">Defective / Damaged</a></li><li><em class=""ItemReceived""></em><a href=""javascript:;"">Wrong Item(s) Received</a></li><li><em class=""Parts""></em><a href=""javascript:;"">Missing Item(s) or Parts</a></li><li><em class=""Usage""></em><a href=""javascript:;"">Technical / Usage</a></li><li><em class=""lssues""></em><a href=""javascript:;"">More Order lssues</a></li><div class=""clear""></div></ul><p class=""marT fontBs"">If you have further questions, please:</p><a class=""LiveChat marT"" href=""javascript:;"">Start a Live Chat</a><p class=""marT line22"">Available time: Monday-Friday: 9:00:00 to 18:30:00 (HKT/GMT+8)<br>TOMTOP Local Time(HKT/GMT+8): </p><div>2015-2-28 <img src=""images/delete/countDown04.jpg""></div></div></div>",0,xcf,2015-03-03,xcf,2015-03-03
 
