istorageid,benabled,bexistfree,ffreebeginprice,ffreeendprice,ccountrys,crule,csuperrule,fbeginprice,fendprice,bistracking,bisspecial,ccode,istartweight,iendweight
1,true,false,null,null,"RU,RU","$w/1000*96.3+8",$p*0.78,0.0,10000.0,null,false,PT,0,2000
1,true,false,null,null,"RU,RU","$w/1000*96.3+ceil($w/2000)*8",$p*0.78,0.0,10000.0,null,false,PT,2000,20000
1,true,false,null,null,"IN,ID,KR,MY,SG,TH,KP","$w/1000*71.5+ceil($w/2000)*8",$p*0.78,0.0,10000.0,null,false,PT,2000,20000
1,true,false,null,null,"IN,ID,KR,MY,SG,TH,KP","$w/1000*71.5+8",$p*0.78,0.0,10000.0,null,false,PT,0,2000
1,true,false,null,null,"JP","$w/1000*62+8",$p*0.78,0.0,10000.0,null,false,PT,0,2000
1,true,false,null,null,"JP","$w/1000*62+ceil($w/2000)*8",$p*0.78,0.0,10000.0,null,false,PT,2000,20000
1,true,false,null,null,"AR,BR,MX","$w/1000*110+8",$p*0.78,0.0,10000.0,null,false,PT,0,2000
1,true,false,null,null,"AR,BR,MX","$w/1000*110+ceil($w/2000)*8",$p*0.78,0.0,10000.0,null,false,PT,2000,20000
1,true,false,null,null,"AF,BH,BD,BT,BN,KH,CL,IR,IQ,JO,KW,LA,LB,MV,MM,NP,AE,YE,BN,LA,PE,DW","$w/1000*120+8",$p*0.78,0.0,10000.0,null,false,PT,0,2000
1,true,false,null,null,"AF,BH,BD,BT,BN,KH,CL,IR,IQ,JO,KW,LA,LB,MV,MM,NP,AE,YE,BN,LA,PE,DW","$w/1000*120+ceil($w/2000)*8",$p*0.78,0.0,10000.0,null,false,PT,2000,20000
1,true,false,null,null,"AL,AD,FO,GE,GI,IS,LI,MK,MD,MC,ME,SM,RS,VA","$w/1000*147.5+8",$p*0.78,0.0,10000.0,null,false,PT,0,2000
1,true,false,null,null,"AL,AD,FO,GE,GI,IS,LI,MK,MD,MC,ME,SM,RS,VA","$w/1000*147.5+ceil($w/2000)*8",$p*0.78,0.0,10000.0,null,false,PT,2000,20000
1,true,false,null,null,"DZ,AO,AI,AG,XD,XH,BS,BB,BZ,BJ,BM,BO,BW,IO,BF,BI,CM,CV,KY,CF,TD,CX,CC,CO,KM,CG,CG,CK,CR,CI,CU,DJ,DM,EC,EG,SV,GQ,ER,ET,FK,FJ,GF,PF,TF,GA,GM,GH,GL,GD,GP,GU,GT,GN,GW,GY,HT,HM,HN,JM,KE,KI,LS,LR,LY,MG,XI,MW,ML,MP,MH,MQ,MR,MU,YT,FM,MS,MA,MZ,NA,NR,AN,NC,NI,NE,NG,NU,NF,PG,PY,PN,PR,RE,RW,SH,KN,LC,PM,VC,WS,ST,SN,SC,SL,SB,SO,GS,SD,SR,SZ,TZ,TG,TK,TO,XB,TN,TC,TV,UG,UY,VU,VE,WF,EH,ZM,ZW,TT,A W,PA","$w/1000*176+8",$p*0.78,0.0,10000.0,null,false,PT,0,2000
