clistingid,iwebsiteid,csku,istatus,cvideoaddress,iqty,fprice,fcostprice,fweight,bmultiattribute,cparentsku,bvisible,bpulish
5d5abc40-d986-1004-8e0c-b321d9e0c5c1,1,H14117,1,,10000,2.49,0.742,20,f,,t,t
008795a7-d914-1004-874c-d371c9ab96c0,1,C119,1,,1000,4.69,1.0485,150,f,,t,t
114c5756-d946-1004-81b8-4b94b504fa92,1,S203,1,,1,74.05,46.85,760,f,,t,t
5e503224-d986-1004-8e0c-b321d9e0c5c1,1,W779,1,,10000,2.06,0.4678,16,f,,t,t
ca4432c0-d92f-1004-8e79-5d7e63ca983b,1,G0209B,1,,2,18.77,4.04,340,t,G0209,t,t
c5b95d98-d92f-1004-8e79-5d7e63ca983b,1,G0547B-L,1,,1000,6.57,2.7458,123,t,G0547,t,t
cb8b07e4-d92f-1004-8e79-5d7e63ca983b,1,G0741B-L,1,,2,15.36,9.37,795,t,G0741,t,t
5e72b808-d986-1004-8e0c-b321d9e0c5c1,1,W385,1,,10000,1.71,0.1645,20,f,,t,t
c42c0a5d-d92f-1004-8e79-5d7e63ca983b,1,G0843BE-L,1,,1000,6.24,3.55,210,t,G0843,t,t
00654ea8-d914-1004-874c-d371c9ab96c0,1,RM213,1,,1000,3.5,1.53,8,f,,t,t
048c0c5c-d914-1004-874c-d371c9ab96c0,1,H2232,1,,2,9.71,5.33,250,f,,t,t
4f6d6934-d986-1004-8e0c-b321d9e0c5c1,1,I928,1,,10000,5,2.2582,51,f,,t,t
c83fd740-d92f-1004-8e79-5d7e63ca983b,1,PA1472EU,1,,1,47.481,29.89,400,t,PA1472,t,t
04716cb9-d914-1004-874c-d371c9ab96c0,1,L0126,1,,1000,20.59,10.18,588,f,,t,t
00cc993f-d914-1004-874c-d371c9ab96c0,1,PT200,1,,1,87.98,64.9298,575,f,,t,t
47bcfdf8-d986-1004-8e0c-b321d9e0c5c1,1,Y0600,1,,10000,5.35,1.6937,122,f,,t,t
d4fb9358-d929-1004-835b-90389054983d,1,H9673B,1,,1,14.47,6.79,850,t,H9673,t,t
c8e9e0f0-d92f-1004-8e79-5d7e63ca983b,1,G0081B1-L,1,,1000,12.6,9.69,655,t,G0081,t,t
046d4c7b-d914-1004-874c-d371c9ab96c0,1,H8267,1,,1,19.47,9.05,202,f,,t,t
0d143be9-d914-1004-874c-d371c9ab96c0,1,H1516,1,,2,4.22,0.65,60,f,,t,t
d503d374-d929-1004-835b-90389054983d,1,H9815RO,1,,1,5.82,1.21,97,t,H9815,t,t
d4d53962-d929-1004-835b-90389054983d,1,G0229W-XL,1,,2,9.53,3.39,220,t,G0229,t,t
0470d07c-d914-1004-874c-d371c9ab96c0,1,I3,1,,1000,5.298,2.42,90,f,,t,t
44e082bc-d986-1004-8e0c-b321d9e0c5c1,1,D2463,1,,10000,89.69,52.6655,426,f,,t,t
00b67b27-d914-1004-874c-d371c9ab96c0,1,K997,1,,1000,5.25,1.62,161,f,,t,t
f7a3b011-d94d-1004-8ce2-70e36be5c01e,1,G0278Y-M,1,,2,9.87,7.59,340,t,G0278Y,t,t
0ca8cc64-d914-1004-874c-d371c9ab96c0,1,G0160,1,,1000,4.1,1.4537,69,f,,t,t
009efd0f-d914-1004-874c-d371c9ab96c0,1,RM257R,1,,1,25.98,10.18,1481,f,,t,t
48f46a94-d986-1004-8e0c-b321d9e0c5c1,1,L0370,1,,10000,15.15,8.9201,194,f,,t,t
48c53378-d986-1004-8e0c-b321d9e0c5c1,1,L0368,1,,10000,7.88,4.2181,99,f,,t,t
4865c30c-d986-1004-8e0c-b321d9e0c5c1,1,L0365,1,,10000,6.18,3.1131,52,f,,t,t
4df6cf8c-d986-1004-8e0c-b321d9e0c5c1,1,I926,1,,10000,4.91,2.2582,45,f,,t,t
d4fbba6b-d929-1004-835b-90389054983d,1,H9675CA,1,,8,14.363,6.79,880,t,H9675,t,t
5d348700-d986-1004-8e0c-b321d9e0c5c1,1,H14060,1,,10000,5.36,2.355,66,f,,t,t
c7dc5e69-d92f-1004-8e79-5d7e63ca983b,1,G0672B-L,1,,3,13.3,7.27,245,t,G0672,t,t
d5433b1a-d929-1004-835b-90389054983d,1,V833B,1,,1000,14.58,9.37,227,t,V833,t,t
4db25c1c-d986-1004-8e0c-b321d9e0c5c1,1,I923,1,,10000,5.03,1.1291,150,f,,t,t
d635ab8c-d929-1004-835b-90389054983d,1,G0694B-L,1,,1000,14.05,7.27,295,t,G0694,t,t
4b5a1374-d986-1004-8e0c-b321d9e0c5c1,1,I913,1,,10000,2.49,0.8872,8,f,,t,t
00703484-d914-1004-874c-d371c9ab96c0,1,I282,1,,1000,5.699,3.23,57,f,,t,t
00b46857-d914-1004-874c-d371c9ab96c0,1,H4630,1,,2,6.95,3.2,381,f,,t,t
0083374f-d914-1004-874c-d371c9ab96c0,1,PA1164,1,,2,5.43,1.62,160,f,,t,t
5ed50f08-d986-1004-8e0c-b321d9e0c5c1,1,W381,1,,10000,1.7,0.1774,18,f,,t,t
9c66d31c-d984-1004-8136-a12200f6b65b,1,W326-1,1,,10000,3.4,0.6787,84,t,W326,t,t
009dbcda-d914-1004-874c-d371c9ab96c0,1,D1671,1,,1000,160.45,71.08,12015,f,,t,t
0095cb9a-d914-1004-874c-d371c9ab96c0,1,D1087,1,,1000,36.14,22.62,192,f,,t,t
00c5ddc4-d914-1004-874c-d371c9ab96c0,1,H323,1,,1,32.41,11.31,150,f,,t,t
4bd488ac-d986-1004-8e0c-b321d9e0c5c1,1,I915,1,,10000,6.72,2.8228,113,f,,t,t
0488d678-d914-1004-874c-d371c9ab96c0,1,PT110,1,,1,153.94,80.78,650,f,,t,t
0cb986d4-d914-1004-874c-d371c9ab96c0,1,D1353,1,,1000,39.35,24.23,1242,f,,t,t
