"clistingid","ilanguageid","csku","icategory","ccreateuser","dcreatedate"
"12340","1","H000-TEST","2","Luo","2014-12-03 06:21:00"
"12341","1","H001-TEST","3","Luo","2014-12-03 06:21:00"
"12342","1","H002-TEST","4","Luo","2014-12-03 06:21:00"
"12343","1","H003-TEST","4","Luo","2014-12-03 06:21:00"
"12344","1","H004-TEST","5","Luo","2014-12-03 06:21:00"
"12345","1","H005-TEST","5","Luo","2014-12-03 06:21:00"
"12346","1","H006-TEST","6","Luo","2014-12-03 06:21:00"
"12347","1","H007-TEST","6","Luo","2014-12-03 06:21:00"
"12348","1","H008-TEST","3","Luo","2014-12-03 06:21:00"
"12349","1","H009-TEST","4","Luo","2014-12-03 06:21:00"
"cdf33010-74cd-43eb-92e5-9a6b0c5b6147","1","HP001","3","kmtong","2014-01-22 11:38:00"
"H0A1_LISTING","1","H0A1","4","kmtong","2014-01-22 11:38:00"
"934668a8-d8c9-1004-8a97-438cca05a146",null,"F1214R","10",null,"2015-02-07 00:00:00"
"934668a8-d8c9-1004-8a97-438cca05a146",null,"F1214R","60",null,"2015-02-07 00:00:00"
"964de800-d8c9-1004-8a97-438cca05a146",null,"F1214GR","10",null,"2015-02-07 00:00:00"
"964de800-d8c9-1004-8a97-438cca05a146",null,"F1214GR","60",null,"2015-02-07 00:00:00"
"964ed2c4-d8c9-1004-8a97-438cca05a146",null,"F1214G","10",null,"2015-02-07 00:00:00"
"964ed2c4-d8c9-1004-8a97-438cca05a146",null,"F1214G","60",null,"2015-02-07 00:00:00"
"964f9614-d8c9-1004-8a97-438cca05a146",null,"F1214BL","10",null,"2015-02-07 00:00:00"
"964f9614-d8c9-1004-8a97-438cca05a146",null,"F1214BL","60",null,"2015-02-07 00:00:00"
"9650a784-d8c9-1004-8a97-438cca05a146",null,"F1214B","10",null,"2015-02-07 00:00:00"
"9650a784-d8c9-1004-8a97-438cca05a146",null,"F1214B","60",null,"2015-02-07 00:00:00"
"9651e004-d8c9-1004-8a97-438cca05a146",null,"F1155B","10",null,"2015-02-07 00:00:00"
