icustomergroupid,clistingid,iqty,fdiscount,ccreateuser,dcreatedate
1,12340,10,0.1,jiang,2014-12-3T9:59:00Z
1,12341,10,0.1,jiang,2014-12-3T9:23:00Z
1,12342,10,0.1,jiang,2014-12-3T2:47:00Z
1,12343,10,0.1,jiang,2014-12-3T2:11:00Z
1,12344,10,0.1,jiang,2014-12-3T1:35:00Z
1,12345,10,0.1,jiang,2015-1-3T4:59:00Z
1,12346,10,0.1,jiang,2015-1-3T4:23:00Z
1,12347,10,0.1,jiang,2015-1-3T7:47:00Z
1,12348,10,0.1,jiang,2015-1-3T7:11:00Z
1,12349,10,0.1,jiang,2015-1-3T0:35:00Z
1,12340,20,0.09,jiang,2015-1-3T0:35:00Z
1,12341,20,0.09,jiang,2015-1-3T0:35:00Z
1,12342,20,0.09,jiang,2015-1-3T0:35:00Z
1,12343,20,0.09,jiang,2015-1-3T0:35:00Z
1,12344,20,0.09,jiang,2015-1-3T0:35:00Z
1,12345,20,0.09,jiang,2015-1-3T0:35:00Z
1,12346,20,0.09,jiang,2015-1-3T0:35:00Z
1,12347,20,0.09,jiang,2015-1-3T0:35:00Z
1,12348,20,0.09,jiang,2015-1-3T0:35:00Z
1,12349,20,0.09,jiang,2015-1-3T0:35:00Z
