"clistingid","csku","cimageurl","clabel","iorder","bthumbnail","bsmallimage","bbaseimage"
"cdf33010-74cd-43eb-92e5-9a6b0c5b6147","HP001","http://img2.tomtop.com/media/catalog/product/cache/1/image/560x560/ced77cb19565515451b3578a3bc0ea5e/2/0/20100614_img_090307.jpg",null,"1","t","t","t"
"cdf33010-74cd-43eb-92e5-9a6b0c5b6147","HP001","http://img2.tomtop.com/media/catalog/product/cache/1/image/560x560/ced77cb19565515451b3578a3bc0ea5e/2/0/20100614_img_090308.jpg",null,"2","t","t","t"
"12340","H000-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/i/m/image_356_1_218_1_81_1_394_1_17_1_18_1_21_1_202_1_97_1_100_1_15.jpg",null,"1","t","t","t"
"12341","H001-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/i/m/image_356_1_218_1_81_1_394_1_17_1_18_1_21_1_116.jpg",null,"1","t","t","t"
"12342","H002-TEST","http://img2.tomtop.com/media/catalog/product/h/4/h4962-14-1e5a.gif",null,"1","t","t","t"
"12343","H003-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/c/1/c1559r-2-0256_1__1.jpg",null,"1","t","t","t"
"12344","H004-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/1/2/12613651160_3.jpg",null,"1","t","t","t"
"12345","H005-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/image/560x560/ced77cb19565515451b3578a3bc0ea5e/2/0/20100614_img_090308.jpg",null,"1","t","t","t"
"12346","H006-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/h/8/h8523-c7-16-ab92.jpg",null,"1","t","t","t"
"12347","H007-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/i/m/image_356_1_218_1_81_1_394_1_17_1_18_1_21_1_202_1_97_1_100_1_290_1_177_1_610_1_265_1_26.jpg",null,"1","t","t","t"
"12348","H008-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/i/m/image_356_1_218_1_81_1_394_1_17_1_18_1_21_1_41.jpg",null,"1","t","t","t"
"12349","H009-TEST","http://img2.tomtop.com/media/catalog/product/cache/1/small_image/160x160/9df78eab33525d08d6e5fb8d27136e95/i/m/image_356_1_218_1_81_1_394_1_17_1_18_1_21_1_202_1_97_1_100_1_290_1_177_1_610_1_265_1_193_1_361_1_1045_1_564.jpg",null,"1","t","t","t"
"934668a8-d8c9-1004-8a97-438cca05a146","F1214R","http://www.tomtop.com/media/catalog/product/1/2/12628290350_3.jpg",null,"1","t","t","t"
"934668a8-d8c9-1004-8a97-438cca05a146","F1214R","http://www.tomtop.com/media/catalog/product/1/2/12628290351_3.jpg",null,"2","t","t","t"
"964de800-d8c9-1004-8a97-438cca05a146","F1214GR","http://www.tomtop.com/media/catalog/product/1/2/12628288920_3.jpg",null,"1","t","t","t"
"964de800-d8c9-1004-8a97-438cca05a146","F1214GR","http://www.tomtop.com/media/catalog/product/1/2/12628288931_3.jpg",null,"2","t","t","t"
"964ed2c4-d8c9-1004-8a97-438cca05a146","F1214G","http://www.tomtop.com/media/catalog/product/1/2/12628287520_3.jpg",null,"1","t","t","t"
"964ed2c4-d8c9-1004-8a97-438cca05a146","F1214G","http://www.tomtop.com/media/catalog/product/1/2/12628287521_3.jpg",null,"2","t","t","t"
"964f9614-d8c9-1004-8a97-438cca05a146","F1214BL","http://www.tomtop.com/media/catalog/product/1/2/12628285810_3.jpg",null,"1","t","t","t"
"964f9614-d8c9-1004-8a97-438cca05a146","F1214BL","http://www.tomtop.com/media/catalog/product/1/2/12628285811_3.jpg",null,"2","t","t","t"
"9650a784-d8c9-1004-8a97-438cca05a146","F1214B","http://www.tomtop.com/media/catalog/product/1/2/12628283020_3.jpg",null,"1","t","t","t"
"9650a784-d8c9-1004-8a97-438cca05a146","F1214B","http://www.tomtop.com/media/catalog/product/1/2/12628283021_3.jpg",null,"2","t","t","t"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","http://www.tomtop.com/media/catalog/product/1/2/12577343720_3.jpg",null,"1","t","t","t"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","http://www.tomtop.com/media/catalog/product/1/2/12577343721_3.jpg",null,"2","t","t","t"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","http://www.tomtop.com/media/catalog/product/1/2/12577343722_3.jpg",null,"3","t","t","t"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","http://www.tomtop.com/media/catalog/product/1/2/12577343733_3.jpg",null,"4","t","t","t"
"9651e004-d8c9-1004-8a97-438cca05a146","F1155B","http://www.tomtop.com/media/catalog/product/1/2/12577343734_3.jpg",null,"5","t","t","t"
"965318e8-d8c9-1004-8a97-438cca05a146","F1156","http://www.tomtop.com/media/catalog/product/1/2/12577336670_3.jpg",null,"1","t","t","t"
