clistingid,csku,crecommendlisting,crecommendsku,ccreateuser,dcreatedate
12341,H001-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12341,H001-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12341,H001-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12340,H000-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12340,H000-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12340,H000-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12342,H002-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12342,H002-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12342,H002-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12343,H003-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12343,H003-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12343,H003-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12344,H004-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12344,H004-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12344,H004-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12345,H005-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12345,H005-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12345,H005-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12346,H006-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12346,H006-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12346,H006-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12347,H007-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12347,H007-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12348,H008-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12348,H008-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12348,H008-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12347,H007-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
12349,H009-TEST,12349,H000-TEST,jiang,2014-12-3T9:55:00Z
12349,H009-TEST,12348,H001-TEST,jiang,2014-12-3T9:56:00Z
12349,H009-TEST,12347,H002-TEST,jiang,2014-12-3T9:56:00Z
