clistingid,csku,ilanguageid,ccontent,ccreateuser,dcreatedate
12340,H000-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H000-point1",jiang,2014-12-3T0:54:00Z
12340,H000-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H000-point2,jiang,2014-12-3T0:54:00Z
12340,H000-TEST,1,Material: PC + Stainless steel-H000-point3,jiang,2014-12-3T0:54:00Z
12340,H000-TEST,1,Length: Approx. 11cm/ 4.3in-H000-point4,jiang,2014-12-3T0:54:00Z
12341,H001-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H001-point1",jiang,2014-12-3T0:54:00Z
12341,H001-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H001-point2,jiang,2014-12-3T0:54:00Z
12341,H001-TEST,1,Material: PC + Stainless steel-H001-point3,jiang,2014-12-3T0:54:00Z
12341,H001-TEST,1,Length: Approx. 11cm/ 4.3in-H001-point4,jiang,2014-12-3T0:54:00Z
12342,H002-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H002-point1",jiang,2014-12-3T0:54:00Z
12342,H002-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H002-point2,jiang,2014-12-3T0:54:00Z
12342,H002-TEST,1,Material: PC + Stainless steel-H002-point3,jiang,2014-12-3T0:54:00Z
12342,H002-TEST,1,Length: Approx. 11cm/ 4.3in-H002-point4,jiang,2014-12-3T0:54:00Z
12343,H003-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H003-point1",jiang,2014-12-3T0:54:00Z
12343,H003-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H003-point2,jiang,2014-12-3T0:54:00Z
12343,H003-TEST,1,Material: PC + Stainless steel-H003-point3,jiang,2014-12-3T0:54:00Z
12343,H003-TEST,1,Length: Approx. 11cm/ 4.3in-H003-point4,jiang,2014-12-3T0:54:00Z
12344,H004-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H004-point1",jiang,2014-12-3T0:54:00Z
12344,H004-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H004-point2,jiang,2014-12-3T0:54:00Z
12344,H004-TEST,1,Material: PC + Stainless steel-H004-point3,jiang,2014-12-3T0:54:00Z
12344,H004-TEST,1,Length: Approx. 11cm/ 4.3in-H004-point4,jiang,2014-12-3T0:54:00Z
12345,H005-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H005-point1",jiang,2014-12-3T0:54:00Z
12345,H005-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H005-point2,jiang,2014-12-3T0:54:00Z
12345,H005-TEST,1,Material: PC + Stainless steel-H005-point3,jiang,2014-12-3T0:54:00Z
12345,H005-TEST,1,Length: Approx. 11cm/ 4.3in-H005-point4,jiang,2014-12-3T0:54:00Z
12346,H006-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H005-point1",jiang,2014-12-3T0:54:00Z
12346,H006-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H006-point2,jiang,2014-12-3T0:54:00Z
12346,H006-TEST,1,Material: PC + Stainless steel-H006-point3,jiang,2014-12-3T0:54:00Z
12346,H006-TEST,1,Length: Approx. 11cm/ 4.3in-H006-point4,jiang,2014-12-3T0:54:00Z
12347,H007-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H007-point1",jiang,2014-12-3T0:54:00Z
12347,H007-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H007-point2,jiang,2014-12-3T0:54:00Z
12347,H007-TEST,1,Material: PC + Stainless steel-H007-point3,jiang,2014-12-3T0:54:00Z
12347,H007-TEST,1,Length: Approx. 11cm/ 4.3in-H007-point4,jiang,2014-12-3T0:54:00Z
12348,H008-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H008-point1",jiang,2014-12-3T0:54:00Z
12348,H008-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H008-point2,jiang,2014-12-3T0:54:00Z
12348,H008-TEST,1,Material: PC + Stainless steel-H008-point3,jiang,2014-12-3T0:54:00Z
12348,H008-TEST,1,Length: Approx. 11cm/ 4.3in-H008-point4,jiang,2014-12-3T0:54:00Z
12349,H009-TEST,1,"Compatibility: For GoPro Hero 1 2 3 3+ or cameras with a 1/4"" threaded screw mount-H009-point1",jiang,2014-12-3T0:54:00Z
12349,H009-TEST,1,Fit: For bar with diameters of between 1.5cm and 4cm-H009-point2,jiang,2014-12-3T0:54:00Z
12349,H009-TEST,1,Material: PC + Stainless steel-H009-point3,jiang,2014-12-3T0:54:00Z
12349,H009-TEST,1,Length: Approx. 11cm/ 4.3in-H009-point4,jiang,2014-12-3T0:54:00Z
12349,H009-TEST,1,Length: Approx. 11cm/ 4.3in-H009-point5,jiang,2014-12-3T0:54:00Z
