clistingid,ilanguageid,csku,ctitle,cdescription,cshortdescription,ckeyword,cmetatitle,cmetakeyword,cmetadescription
cdf33010-74cd-43eb-92e5-9a6b0c5b6147,1,HP001,good thing,cool,null,null,null,null,null
12340,1,H000-TEST,Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H000-TEST ,"<b>attributes:</b><br>${attributes} <br>
<b>Features:</b>
1. Convert all the PSX controller to be used on PC. H000-TEST
2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H000-TEST
3. Real vibration feedback function.H000-TEST
4. Both Digital & Analog modes are available.H000-TEST
5. Support all vibration types.H000-TEST
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H000-TEST
7. DDR dancing controller is compatible.H000-TEST
8. Build-in flashing signal indicator. H000-TEST
Item included:1* TWO PORT Cable.H000-TEST<br>
<br><b>picture:</b><br>
${product_images}",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard  Special layout for Motorola Xoom Tablet use.Buil-in Lithium Rechargeable battery lasts for approximately 45 hours per charge.Energy-Saving keyboard sleep mode.Comfortable to type.Quiet keystrokes.Waterproof and dustproof design.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard,this is H000-TEST ,small,good 
12340,2,H000-TEST,Herramienta de desmontaje profesional diferente y consolas de juego (8 - piece set),"< b > Atributos: < / B > < BR > ${attributes} < BR >
< b > Caracteristicas: < / B >
1.Convertir todo el PSX h000-test controlador para ser utilizado en PC.
2.Facil y comodo de usar, simplemente Hot Plug la c toma USB e instalar el driver, entonces trabaja perfectly.h000-test
3.Function.h000-test real vibracion
4.Ambos modos son available.h000-test digital &amp; Analog
5.Apoyar todas las vibraciones types.h000-test
6.Compatible con Win98, Windows 98 se, WinMe, Win2000 y WinXP el reci??n anunciado, junto con el Direct X 7,0 una o above.h000-test
7.Es compatible.h000-test controlador DDR bailando
8.Construir - en indicador de se?al intermitente.H000-test
Tema incluido: 1 * dos Port Cable. H000-test < BR >
< BR > < b > Foto: < / B > < BR >
${product_images}",null,null,null,null,null
12341,1,H001-TEST,Camera Handlebar Seatpost Clamp Roll Bar Mount+Mounting Adapter for GoPro Hero 1 2 3 3+  H001-TEST,"<br><b>attributes:</b><br>${attributes} <br>
<b>Features:</b>
<br>1. Convert all the PSX controller to be used on PC. H001-TEST<br>2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H001-TEST<br>
3. Real vibration feedback function.H001-TEST<br>
4. Both Digital & Analog modes are available.H001-TEST<br>
5. Support all vibration types.H001-TEST<br>
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H001-TEST<br>
7. DDR dancing controller is compatible.H001-TEST<br>
8. Build-in flashing signal indicator. H001-TEST<br> ${clothing_size_reference} <br>
Item included:1* TWO PORT Cable.H001-TEST<br>
<br><b>picture:</b><br>
${product_images}",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard,this is H001-TEST ,small,good 
12342,1,H002-TEST,Music Starry Star Sky Projection Alarm Clock H002-TEST ,"<br><b>attributes:</b><br>${attributes} <br> H002-TEST Wanna use your PSX controller to play PC games without waste extra money? ${attributes}<br>Wanna find the easiest and fastest way to use your PS/PS2 Controller on your PC? <br>Now, you get it! The worlds first support Real vibration PS & ps2 USB Adaptor for the PC is available now,<br> It supports Dual Player Games Win95/98/ME/2000/XP & Real vibration & even the most popular DDR dancing controller!<br> Go to share it now!<br>

<b>Features:</b>
<br>1. Convert all the PSX controller to be used on PC. H002-TEST
<br>2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H002-TEST<br>
3. Real vibration feedback function.H002-TEST<br>
4. Both Digital & Analog modes are available.H002-TEST
<br>5. Support all vibration types.H002-TEST<br>
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H002-TEST<br>
7. DDR dancing controller is compatible.H002-TEST<br>
8. Build-in flashing signal indicator. H002-TEST<br> ${clothing_size_reference} <br>
Item included:1* TWO PORT Cable.H002-TEST<br>
<br><b>picture:</b><br>
${product_images}",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard,this is H002-TEST ,small,good 
12343,1,H003-TEST,2.4GHz Wireless Optical Pen Mouse Adjustable  H003-TEST ,"
<br><b>attributes:</b><br>${attributes} <br> H003-TEST Wanna use your PSX controller to play PC games without waste extra money?<br> Wanna find the easiest and fastest way to use your PS/PS2 Controller on your PC? <br>Now, you get it! The worlds first support Real vibration PS & ps2 <br>USB Adaptor for the PC is available now, It supports Dual Player Games Win95/98/ME/2000/XP & Real vibration & even the most popular DDR dancing controller! <br>Go to share it now!<br>
<b>Features:</b>
1. Convert all the PSX controller to be used on PC. H003-TEST<br>
2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H003-TEST<br>
3. Real vibration feedback function.H003-TEST<br>
4. Both Digital & Analog modes are available.H003-TEST<br>
5. Support all vibration types.H003-TEST<br>
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H003-TEST<br>
7. DDR dancing controller is compatible.H003-TEST<br>
8. Build-in flashing signal indicator. H003-TEST<br>
Item included:1* TWO PORT Cable.H003-TEST<br>
H003-TEST Wanna use your PSX controller to play PC games without waste extra money? Wanna find the easiest and fastest way to use your PS/PS2 Controller on your PC? Now, you get it! The worlds first support Real vibration PS & ps2 USB Adaptor for the PC is available now, It supports Dual Player Games Win95/98/ME/2000/XP & Real vibration & even the most popular DDR dancing controller! Go to share it now!
<br><b>attributes:</b><br>${attributes} <br>
<b>Features:</b>
1. Convert all the PSX controller to be used on PC. H003-TEST
2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H003-TEST
3. Real vibration feedback function.H003-TEST
4. Both Digital & Analog modes are available.H003-TEST
5. Support all vibration types.H003-TEST
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H003-TEST
7. DDR dancing controller is compatible.H003-TEST
8. Build-in flashing signal indicator. H003-TEST
Item included:1* TWO PORT Cable.H003-TEST<br>
<br><b>picture:</b><br>
${product_images}",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.,this is H003-TEST ,small,good 
12344,1,H004-TEST,USB TO PC Game Controller Adapter Converter For PS2  H004-TEST ,"
<br><b>attributes:</b><br>${attributes} <br> H004-TEST Wanna use your PSX controller to play PC games without waste extra money? <br>Wanna find the easiest and fastest way to use your PS/PS2 Controller on your PC? <br>Now, you get it! The worlds first support Real vibration PS & ps2 <br>USB Adaptor for the PC is available now, <br>It supports Dual Player Games Win95/98/ME/2000/XP & Real vibration & even the most popular DDR dancing controller! <br>Go to share it now!<br>
<br><b>Features:</b><br>
1. Convert all the PSX controller to be used on PC. H004-TEST<br>
2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H004-TEST<br>
3. Real vibration feedback function.H004-TEST<br>
4. Both Digital & Analog modes are available.H004-TEST<br>
5. Support all vibration types.H004-TEST<br>
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H004-TEST<br>
7. DDR dancing controller is compatible.H004-TEST<br>
8. Build-in flashing signal indicator. H004-TEST<br>
Item included:1* TWO PORT Cable.H004-TEST<br>
<br><b>picture:</b><br>
${product_images}",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboardWireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboardWireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard,this is H004-TEST ,small,good 
12345,1,H005-TEST,Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H005-TEST ,"<br><b>attributes:</b><br>${attributes} <br> H005-TEST Wanna use your PSX controller to play PC games without waste extra money? Wanna find the easiest and fastest way to use your PS/PS2 Controller on your PC? Now, you get it! The worlds first support Real vibration PS & ps2 USB Adaptor for the PC is available now, It supports Dual Player Games Win95/98/ME/2000/XP & Real vibration & even the most popular DDR dancing controller! Go to share it now!<br>
<br><b>Features:</b><br>
1. Convert all the PSX controller to be used on PC. H005-TEST<br>
2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H005-TEST<br>
3. Real vibration feedback function.H005-TEST<br>
4. Both Digital & Analog modes are available.H005-TEST<br>
5. Support all vibration types.H005-TEST<br>
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H005-TEST<br>
7. DDR dancing controller is compatible.H005-TEST<br>
8. Build-in flashing signal indicator. H005-TEST<br>
Item included:1* TWO PORT Cable.H005-TEST
<br><b>picture:</b><br>
${product_images}",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard <br> Special layout for Motorola Xoom Tablet use.Buil-in Lithium Rechargeable battery lasts for approximately 45 hours per charge.Energy-Saving keyboard sleep mode.Comfortable to type.Quiet keystrokes.Waterproof and dustproof design.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard,this is H005-TEST ,small,good 
12346,1,H006-TEST,Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H006-TEST ,"<br><b>attributes:</b><br>${attributes} <br> H006-TEST Wanna use your PSX controller to play PC games without waste extra money? Wanna find the easiest and fastest way to use your PS/PS2 Controller on your PC? Now, you get it!<br> The worlds first support Real vibration PS & ps2<br> USB Adaptor for the PC is available now,<br> It supports Dual Player Games Win95/98/ME/2000/XP & Real vibration & even the most popular DDR dancing controller!<br> Go to share it now!<br>
<br><b>Features:</b><br>
1. Convert all the PSX controller to be used on PC. H006-TEST
2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H006-TEST
3. Real vibration feedback function.H006-TEST
4. Both Digital & Analog modes are available.H006-TEST
5. Support all vibration types.H006-TEST
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H006-TEST
7. DDR dancing controller is compatible.H006-TEST
8. Build-in flashing signal indicator. H006-TEST
Item included:1* TWO PORT Cable.H006-TEST
<br><b>picture:</b><br>
${product_images}
",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard,this is H006-TEST ,small,good 
12347,1,H007-TEST,Professional Phone and Game Consoles Disassembly Tool (8-Piece Set) H007-TEST ,"<br><b>attributes:</b><br>${attributes} <br>
H007-TEST Wanna use your PSX controller to play PC games without waste extra money? Wanna find the easiest and fastest way to use your PS/PS2 Controller on your PC? Now, you get it!<br> The worlds first support Real vibration PS & ps2<br> USB Adaptor for the PC is available now,<br> It supports Dual Player Games Win95/98/ME/2000/XP & Real vibration & even the most popular DDR dancing controller!<br> Go to share it now!
<br><b>Features:</b><br>
1. Convert all the PSX controller to be used on PC. H007-TEST
2. Easy and convenient to use, simply hot-plug the C USB socket and install the driver, then it works perfectly.H007-TEST
3. Real vibration feedback function.H007-TEST
4. Both Digital & Analog modes are available.H007-TEST
5. Support all vibration types.H007-TEST
6. Compatible with Win98, Win98SE, WinME, Win2000&the newly announced WinXP, together with the Direct X 7.0 a or above.H007-TEST
7. DDR dancing controller is compatible.H007-TEST
8. Build-in flashing signal indicator. H007-TEST
Item included:1* TWO PORT Cable.H007-TEST
<br><b>picture:</b><br>
${product_images}",good,2-in-1: Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboardWireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard.Wireless Bluetooth Keyboard + Folding PU Leather Protective Case.Built-In wireless Bluetooth 3.0 silicone keyboard.With wireless operation distance up to 10 meters.QWERTY keyboard,this is H007-TEST ,small,good 
